OGLE-2025-BLG-0612

Field          BLG631.31
StarNo         101411
RA(J2000.0)    17:44:04.34
Dec(J2000.0)   -21:36:38.3
Remarks        

  Tmax   2460815.806     1.391
  tau         44.687     1.909
  umin         1.272     0.015
  Amax         1.200     0.006
  Dmag         0.198     0.005
  fbl          1.000     0.000
  I_bl        17.681     0.003
  I0          17.681     0.003
