n_points,duration,cadence_med,cadence_std,cadence_iqr,cadence_min,cadence_max,cadence_max_gap,cadence_frac_large_gaps,flux_mean,flux_median,flux_p05,flux_q25,flux_q75,flux_p95,flux_iqr,flux_p95_p05,flux_mad,flux_std,flux_amp,flux_skew,flux_kurt,amp_norm,std_norm,amp_over_std,amp_over_iqr,std_over_mad,flux_asym,rise_fall_ratio,pre_peak_mean,post_peak_mean,pre_post_ratio,pre_post_median_diff,rise_rate,fall_rate,peak_time_fraction,fwhm_time,t_above_q25,t_above_q75,outlier_frac,frac_above_1sigma,frac_above_2sigma,von_neumann_ratio,autocorr_lag1,err_flux_median,err_flux_mean,snr_median,snr_peak,chi2_const,chi2_reduced,stetson_j,seeing_mean,seeing_std,seeing_flux_corr,seeing_flux_slope,bg_mean,bg_std,bg_flux_corr,bg_flux_slope,event
4569,3178.6241599996574,0.048045000061392784,13.452426444455872,0.06334000010974705,0.0021299999207258224,872.7725699995644,872.7725699995644,0.2403677758318739,1.07798314282406,1.0779534330711138,0.942323452603072,1.0275429881178133,1.1266784820709996,1.209483644783946,0.09913549395318633,0.26716019218087406,0.049463606918463965,0.0855065409815475,1.0694316965425068,0.8116600607845486,6.200264470468561,0.9920671799568679,0.079320851676345,12.507016238363478,10.787576214100602,1.7286758145740742,0.018457228551229887,15.843277005119779,1.0807249815945428,1.062267753043313,1.0173753072126603,0.017756327994402854,0.0002563620648549449,-0.0038148673418110755,0.9406291305607553,2356.395680000074,3178.6241599996574,1.1355700003914535,0.004377325454147516,0.1302254322608886,0.025169621361348215,1.700826735699852,0.149561316530877,0.06336590676720755,0.06610056292104922,16.964628199345775,22.15788172975774,7363.776318361752,1.6120350959636058,0.04591324064891059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,blg-0491
2466,3174.6680899998173,0.06022999994456768,18.42690153409729,0.8147700005210936,0.007859999779611826,873.6702600000426,873.6702600000426,0.36835699797160243,1.170224977802636,1.1619836038697964,0.88879171988482,1.0558445924300777,1.2702816793968554,1.456129498616054,0.21443708696677777,0.567337778731234,0.10711103254635934,0.18704644678271828,1.8318613908134598,1.0023848505157211,4.750533002487284,1.5653924891034177,0.1598380228850871,9.793617694012834,8.542651911221242,1.7462855350755921,-0.1661923234928453,20.614886554228928,1.1631557803506773,1.3293481038435226,0.8749820885798565,-0.10829086884341987,0.00036282717824746646,-0.007785311042167478,0.9537355887808557,3122.736290000379,3174.6680899998173,111.89926000032574,0.00932684509326845,0.12570965125709652,0.030413625304136254,1.5694708990610946,0.21495210633787853,0.11359378915849107,0.12073167240468688,10.34034480722028,22.157881729757744,5853.886231493175,2.374801716630091,0.13054418369508858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,blg-0801
4315,3177.664439999964,0.04815000016242266,13.858575670786928,0.09047749976161867,0.004639999940991402,872.7721299999394,872.7721299999394,0.24710245711636533,1.275116936597917,1.228570265249386,0.8721677022030937,1.0720128717525907,1.4157937799570788,1.787804551879513,0.34378090820448803,0.9156368496764192,0.17166173953646502,0.3112812191035686,2.5512029291882348,1.63957621242653,5.564362025711059,2.00075997421459,0.2441197431931884,8.195813857756082,7.421013989731874,1.813340700986227,-0.28564997470197273,15.931351889557543,1.228456583578189,1.5141065582801618,0.8113409038882733,-0.3181811874524967,0.0007113390620721888,-0.009525978972694672,0.940937970782076,2710.694990000222,3176.669329999946,15.137010000180453,0.019466975666280417,0.15086906141367323,0.03568945538818077,0.9822864951990166,0.508820273517595,0.16909259977530772,0.1754293347294855,7.336055437554929,21.714724095162588,14829.625293150617,3.4375580188109915,0.44815953214551896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,blg-0490
2387,3174.6680899998173,0.06182500021532178,18.742689594376024,0.823135000304319,0.007859999779611826,873.6702600000426,873.6702600000426,0.3755238893545683,1.1179949389666783,1.0794437099844516,0.947981801010719,1.0270698960262816,1.1334438229710333,1.2597374449000176,0.10637392694475167,0.31175564388929855,0.052956653251103436,0.3362941238233025,4.98428691307205,10.040831650432409,115.71907080359763,4.458237456494072,0.30080111465811,14.821213217781116,46.85628383034859,6.350365878083417,-0.597205048778316,27.336957183420534,1.0980036897279721,1.6952087385062882,0.647710022245086,-0.17321871363694585,0.0015420978553097827,-0.04149546873210221,0.964710395914171,18.997260000091046,49.83560000034049,12.866619999986142,0.011730205278592375,0.019689987431922917,0.015919564306661083,0.13223367874571276,0.9338827777368457,0.05440351125804204,0.057858975308620164,20.106226014039432,77.55258605415209,62298.97945525148,26.11021770966114,0.7244459817505429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,blg-0800
318,3160.663040000014,1.956379999872297,92.99388272216595,1.9775500004179776,0.07517000008374453,1618.2592899999581,1618.2592899999581,0.13249211356466878,1.1331605043353261,1.0715193052376093,0.9521853615373072,1.023292992280756,1.1209855128753168,1.2729444004369743,0.09769252059456068,0.32075903889966717,0.04880129194082894,0.5367282172274261,8.452285513948837,12.119374328190787,168.12655145803575,7.459036457422829,0.4736559518038028,15.747794214380528,86.51926946410924,10.998237872026083,-0.09658963113464947,12.757479016410107,1.0777580210695064,1.1743476522041558,0.9177503944821123,-0.01932941523168874,0.0027859259904301856,-0.03486952223107525,0.927312264201371,0.0,3.9997800001874566,0.0,0.009433962264150943,0.02830188679245283,0.015723270440251572,0.8067940796208013,0.5965767261551989,0.10296382977462168,0.10791161017054846,10.541128201535239,63.86683557400761,5037.922527287112,15.892500086079217,0.7014190542182508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,blg-0239
217,979.6301299999468,2.77970499987714,10.387447681832901,3.0912099996348843,0.0018500001169741154,108.36844000034034,108.36844000034034,0.06481481481481481,1.0510183149885646,1.0346655758424363,0.9880979539411258,1.01204541109654,1.0715193052376057,1.1447758839308193,0.05947389414106574,0.15667792998969354,0.028197509404112697,0.06498752598993686,0.4415454798475943,2.6249518029843477,9.720489216761603,0.4201120699332423,0.06183291486280517,6.794311263918039,7.424189826889348,2.304725749305299,0.0,0.0,0.0,0.0,0.0,0.0,0.0004150075429330079,0.0,1.0,31.965119999833405,938.7232200000435,12.986610000021756,0.03225806451612903,0.1336405529953917,0.041474654377880185,0.2064993856345647,0.8917785482355324,0.015674570974645016,0.016408109484943822,67.85851279738309,77.55258605415209,3146.816399774986,14.568594443402715,2.1765114002810613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,blg-1297
370,3166.6146499998868,1.096940000075847,84.63816549020389,1.0160199999809265,0.0765900001861155,1584.342660000082,1584.342660000082,0.15718157181571815,1.02903846408779,1.01204541109654,0.9935735005868431,1.003690930920095,1.0240001836613644,1.1401268379556981,0.02030925274126938,0.146553337368855,0.009364340893309064,0.06494762398938793,0.5110824087640166,4.408338286118397,21.77829963536965,0.49666016052866874,0.06311486524166221,7.8691471276535765,25.165003128129502,6.935632174154809,-0.06485447287096835,11.583990675499715,1.0093196891281468,1.0741741619991152,0.9396238755638382,-0.022557749190908583,0.00017157647401555578,-0.0019875402751313173,0.9205339525603002,25.938130000140518,72.84655000036582,8.98321000020951,0.02972972972972973,0.07837837837837838,0.051351351351351354,0.17823453974316103,0.9108179178740843,0.011885588501383229,0.012051512718893227,90.47801706317743,108.57362047581293,9649.222851345403,26.149655423700278,2.3902039203565137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,blg-0238
589,3164.671480000019,1.9802799997851253,37.6779513250683,2.004117500036955,0.04033000022172928,873.8366400003433,873.8366400003433,0.12074829931972789,1.1288403225990031,1.0889300933334345,0.9373038436419856,1.0284898261526465,1.1518608035366786,1.2800886420852857,0.12337097738403213,0.3427847984433001,0.061387105215624516,0.44822158069928164,7.3864814196210755,11.783263027901738,153.9545377476798,6.543424496579547,0.39706375802320004,16.479530967913774,59.87211559999447,7.301559164988909,-0.8233032000917115,48.39292647936354,1.0986895551173628,1.9219927552090743,0.5716408410695842,-0.1403838169961109,0.0022742332164403405,-0.10697108043510885,0.9797541860489315,5.080229999963194,7.0460299998521805,0.0,0.008488964346349746,0.010186757215619695,0.008488964346349746,0.39829832843731944,0.8008256432340707,0.0682037378494595,0.0722439565328386,16.205017981464618,83.51816959677919,15579.736114640093,26.49614985483009,0.6073715679447886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,blg-1296
767,3176.6112999999896,1.0824049999937415,32.92639261743428,1.231159999850206,0.00993000017479062,873.7446099999361,873.7446099999361,0.17754569190600522,1.035863887495583,1.0157808007968998,0.9880979539411258,1.00554150185604,1.0251797048255549,1.1713320825268507,0.019638202969514795,0.18323412858572496,0.010239298940859731,0.09585989578992914,0.7117691141777309,4.752092291057903,23.643538599101884,0.6871261009963203,0.09254101523095899,7.42509793394234,36.24410620883387,9.361958894217064,-0.4451809140456362,59.13155790058502,1.0268911000605736,1.4720720141062098,0.6975821089052261,-0.5036246446607344,0.00020728794776446888,-0.008766187119053357,0.9833697972426843,68.85499999998137,118.80496000032872,33.095389999914914,0.03129074315514994,0.06388526727509779,0.04432855280312908,0.024488263742440775,0.9877339904728385,0.006646204804458822,0.00719238030636594,155.10517210830417,217.14724095162586,103577.0271863565,135.21805115712337,4.470794713860438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,blg-0909
77,2925.969810000155,2.8331100000068545,150.18593421735503,8.616747499909252,0.14526000013574958,1233.8786999997683,1233.8786999997683,0.27631578947368424,1.8302689755058357,1.2462351604865105,0.8799051749295186,1.0568175092136571,1.85182524363818,5.867624311683859,0.7950077344245228,4.9877191367543405,0.2462351604865105,1.4589097285787638,6.216162649644256,2.3738407513653823,4.774557298372324,3.396310997363806,0.7971012720551424,4.260827471278774,7.8189964455426475,5.924863556026099,-0.465541003452159,33.056597037952365,1.5982662554397713,2.0638072588919303,0.7744261236380617,-0.3349412528902389,0.002035211532685674,-0.06985536003711108,0.9706371133062529,10.89943000022322,27.022110000252724,6.097420000005513,0.06493506493506493,0.14285714285714285,0.07792207792207792,0.10086365073673703,0.9493521190390022,0.27298836385466313,0.2837497223808409,4.561916826714829,25.249679180421616,1993.4346923065086,26.229403846138272,2.95454706041843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,blg-0599
