n_points,duration,cadence_med,flux_mean,flux_std,flux_amp,flux_skew,flux_kurt,amp_norm,std_norm,flux_asym,rise_fall_ratio,fwhm_time,outlier_frac,event
4569,3178.6241599996574,0.048045000061392784,1.07798314282406,0.0855065409815475,1.0694316965425068,0.8116600607845486,6.200264470468561,0.9920671799568679,0.079320851676345,0.018457228551229887,15.843277005119779,2356.395680000074,0.004377325454147516,blg-0491
2466,3174.6680899998173,0.06022999994456768,1.170224977802636,0.18704644678271828,1.8318613908134598,1.0023848505157211,4.750533002487284,1.5653924891034177,0.1598380228850871,-0.1661923234928453,20.614886554228928,3122.736290000379,0.00932684509326845,blg-0801
4315,3177.664439999964,0.04815000016242266,1.275116936597917,0.3112812191035686,2.5512029291882348,1.63957621242653,5.564362025711059,2.00075997421459,0.2441197431931884,-0.28564997470197273,15.931351889557543,2710.694990000222,0.019466975666280417,blg-0490
2387,3174.6680899998173,0.06182500021532178,1.1179949389666783,0.3362941238233025,4.98428691307205,10.040831650432409,115.71907080359763,4.458237456494072,0.30080111465811,-0.597205048778316,27.336957183420534,18.997260000091046,0.011730205278592375,blg-0800
318,3160.663040000014,1.956379999872297,1.1331605043353261,0.5367282172274261,8.452285513948837,12.119374328190787,168.12655145803575,7.459036457422829,0.4736559518038028,-0.09658963113464947,12.757479016410107,0.0,0.009433962264150943,blg-0239
217,979.6301299999468,2.77970499987714,1.0510183149885646,0.06498752598993686,0.4415454798475943,2.6249518029843477,9.720489216761603,0.4201120699332423,0.06183291486280517,,,31.965119999833405,0.03225806451612903,blg-1297
370,3166.6146499998868,1.096940000075847,1.02903846408779,0.06494762398938793,0.5110824087640166,4.408338286118397,21.77829963536965,0.49666016052866874,0.06311486524166221,-0.06485447287096835,11.583990675499715,25.938130000140518,0.02972972972972973,blg-0238
589,3164.671480000019,1.9802799997851253,1.1288403225990031,0.44822158069928164,7.3864814196210755,11.783263027901738,153.9545377476798,6.543424496579547,0.39706375802320004,-0.8233032000917115,48.39292647936354,5.080229999963194,0.008488964346349746,blg-1296
767,3176.6112999999896,1.0824049999937415,1.035863887495583,0.09585989578992914,0.7117691141777309,4.752092291057903,23.643538599101884,0.6871261009963203,0.09254101523095899,-0.4451809140456362,59.13155790058502,68.85499999998137,0.03129074315514994,blg-0909
77,2925.969810000155,2.8331100000068545,1.8302689755058357,1.4589097285787638,6.216162649644256,2.3738407513653823,4.774557298372324,3.396310997363806,0.7971012720551424,-0.465541003452159,33.056597037952365,10.89943000022322,0.06493506493506493,blg-0599
579,3172.641769999638,1.9930599997751415,1.050478951624833,0.059278042268240835,0.37945510941120575,1.8212238198214032,4.071159733190016,0.36122104952629647,0.05642953833254085,-0.07535079380872034,20.79123854840099,2299.830830000341,0.03626943005181347,blg-0908
342,3105.62731000036,1.96961999963969,1.210353517071844,1.0116230779420874,16.630592636071494,13.112342113008935,195.82576084961184,13.740277036006116,0.8358079384851654,-0.21609951021495144,17.40380245904696,0.0,0.011695906432748537,blg-0598
417,3150.6881900001317,1.9907150000799447,1.6408792031914075,1.4007431276029623,14.157893995805988,6.013698667001115,44.36549813285613,8.62823659917791,0.8536540196734802,-0.8111917686666121,15.51556577069683,7.9617999996989965,0.019184652278177457,blg-0157
827,3168.6348600001074,1.0644300000276417,1.141887085441122,0.20332731630407389,1.7874395961417788,3.4932567021319088,17.671705189920274,1.565338306152463,0.1780625412936749,-0.21989607932994248,14.477408317297316,68.94387000007555,0.022974607013301087,blg-0331
829,3166.6487000002526,1.0720899999141693,1.0313392658696519,0.03115410822141634,0.23517329885349658,0.8297245705407,2.2319697235680156,0.22802709703406124,0.030207429555342676,-0.014826678467624976,13.816793673812727,3151.626540000085,0.013268998793727383,blg-0330
798,3173.637629999779,1.08202000008896,1.0707650119755092,0.528140259476375,10.259123991677326,13.514196034626252,217.16624123639292,9.581116189769538,0.49323638106364903,-0.3326296912803972,16.765356823009625,1.8259600000455976,0.011278195488721804,blg-0156
1412,3176.6294700000435,0.8176000001840293,1.0336849394694203,0.052181764632817026,0.9579483877419462,7.981460464162535,105.479831045805,0.9267314934796778,0.0504813049318503,-0.032870857685220356,18.174439971035625,6.922719999682158,0.0056657223796034,blg-0665
219,972.681559999939,2.1410749999340624,1.1983558914796117,0.25774958578373686,1.4527187092816478,2.000293267984313,4.420223219248541,1.2122598299975593,0.21508600876947587,-0.17019251767652954,6.002464695438691,48.75053000031039,0.045662100456621,blg-0893
225,979.6451000003144,2.093455000082031,1.0840185767572348,0.3221040806704917,3.9936308695385434,9.729478344113446,103.09688699332919,3.68409818352487,0.2971388937208469,-0.04815969820421295,3.7624990398630773,1.9907399998046458,0.008888888888888889,blg-0403
2789,3177.6644200002775,0.05579000012949109,1.0994953720817453,0.13178624929805213,2.414771262325524,5.4105836198691515,64.84962893394989,2.1962541395271926,0.1198606675792848,-0.1486125178159765,22.900532147613962,16.684210000094026,0.008246683399067766,blg-0892
225,974.6557599999942,2.081304999999702,1.094095963691676,0.1335580844101602,0.7358731166314832,1.9943000826604567,4.106644006418295,0.6725855327612354,0.12207163616572651,-0.12257158458396633,3.7851126214338104,45.93959000008181,0.044444444444444446,blg-0402
873,3176.6294700000435,0.8814250000286847,1.0071085877137065,0.019808876302443285,0.20916657607526734,7.128691044303005,54.808223510623755,0.2076901921272542,0.01966905708490931,-0.028635537260738086,19.41634844208716,28.005009999964386,0.018327605956471937,blg-0664
