2459996.88353 17.653 0.014 4.96 429.0
2460001.83587 17.647 0.013 4.62 437.0
2460005.83009 17.649 0.016 5.71 444.0
2460009.80787 17.649 0.022 6.26 688.0
2460013.85668 17.643 0.013 4.47 437.0
2460016.80335 17.638 0.017 5.15 692.0
2460022.78497 17.643 0.013 5.36 304.0
2460024.90601 17.629 0.013 5.12 361.0
2460027.86884 17.647 0.012 4.92 308.0
2460030.76601 17.647 0.012 4.55 280.0
2460032.78180 17.666 0.013 4.97 312.0
2460034.81369 17.594 0.016 6.91 291.0
2460037.75587 17.635 0.015 5.68 427.0
2460039.87886 17.660 0.013 4.62 408.0
2460041.90566 17.680 0.017 5.32 547.0
2460043.87523 17.648 0.017 5.34 597.0
2460049.75217 17.616 0.013 5.58 283.0
2460052.79710 17.640 0.012 5.11 312.0
2460054.92526 17.604 0.021 4.95 1215.0
2460058.75883 17.662 0.014 5.59 357.0
2460060.74142 17.595 0.013 5.24 350.0
2460062.78725 17.657 0.011 4.51 302.0
2460066.70765 17.651 0.015 5.41 397.0
2460068.66155 17.658 0.022 6.78 660.0
2460075.84117 17.671 0.014 4.37 520.0
2460083.76286 17.652 0.018 6.61 417.0
2460086.90261 17.618 0.015 5.01 424.0
2460088.86759 17.633 0.016 5.58 401.0
2460090.79333 17.637 0.015 5.36 352.0
2460092.64029 17.619 0.015 5.66 373.0
2460094.90292 17.642 0.015 5.01 451.0
2460096.84272 17.621 0.015 4.30 542.0
2460098.64942 17.631 0.027 6.34 1031.0
2460104.83920 17.598 0.018 6.55 483.0
2460105.91708 17.615 0.018 6.05 500.0
2460107.88137 17.629 0.019 6.76 388.0
2460109.81104 17.621 0.020 7.20 405.0
2460111.62925 17.637 0.014 5.36 352.0
2460113.86881 17.628 0.018 6.39 384.0
2460118.80880 17.616 0.017 5.96 364.0
2460120.69747 17.654 0.016 6.21 275.0
2460122.63408 17.628 0.015 5.46 317.0
2460123.86028 17.631 0.018 5.52 562.0
2460125.71788 17.681 0.021 6.44 607.0
2460130.65598 17.641 0.021 6.12 685.0
2460132.62102 17.625 0.023 6.89 626.0
2460134.67969 17.632 0.015 5.95 318.0
2460140.48254 17.644 0.018 6.20 372.0
2460141.75764 17.616 0.014 5.06 326.0
2460143.75306 17.664 0.014 5.29 322.0
2460149.67083 17.676 0.014 5.03 290.0
2460151.80621 17.634 0.016 5.22 459.0
2460158.52555 17.689 0.022 6.16 763.0
2460159.76441 17.659 0.017 4.70 660.0
2460160.75709 17.627 0.020 5.63 628.0
2460167.56601 17.626 0.017 7.09 255.0
2460169.65955 17.651 0.015 6.47 260.0
2460171.67615 17.617 0.014 5.31 313.0
2460174.63404 17.626 0.016 5.92 295.0
2460179.59593 17.639 0.015 5.31 334.0
2460185.56606 17.632 0.024 6.57 703.0
2460188.59479 17.646 0.019 5.11 641.0
2460201.62219 17.634 0.016 5.95 359.0
2460203.64545 17.650 0.016 5.19 393.0
2460206.60732 17.613 0.018 6.30 473.0
2460214.52980 17.646 0.024 6.94 635.0
2460221.52053 17.610 0.019 6.24 492.0
2460227.56837 17.675 0.020 5.94 519.0
2460232.53185 17.634 0.019 5.58 597.0
2460248.51169 17.610 0.022 6.83 527.0
2460356.87345 17.626 0.016 6.59 377.0
2460367.85889 17.627 0.019 6.78 529.0
2460371.83561 17.669 0.019 5.71 539.0
2460378.83316 17.592 0.014 5.07 385.0
2460381.82799 17.646 0.016 5.56 389.0
2460384.82134 17.639 0.017 6.02 442.0
2460387.82575 17.635 0.015 5.21 391.0
2460390.88453 17.653 0.013 4.23 388.0
2460393.81323 17.650 0.016 5.17 515.0
2460395.88235 17.633 0.016 4.69 540.0
2460398.80593 17.629 0.016 4.99 603.0
2460403.91884 17.620 0.019 5.36 741.0
2460406.86674 17.625 0.015 5.23 373.0
2460410.83933 17.616 0.013 4.84 346.0
2460417.74461 17.631 0.015 5.61 360.0
2460420.75359 17.629 0.015 5.35 389.0
2460424.89328 17.655 0.019 5.56 651.0
2460432.81947 17.649 0.017 6.01 442.0
2460434.85366 17.634 0.017 5.62 441.0
2460436.85695 17.642 0.022 7.49 394.0
2460442.69449 17.644 0.019 6.97 363.0
2460448.88567 17.624 0.016 5.50 418.0
2460450.76390 17.612 0.014 5.00 382.0
2460458.92194 17.702 0.025 5.70 1046.0
2460461.73316 17.639 0.013 4.82 468.0
2460463.77282 17.637 0.015 5.57 305.0
2460468.60786 17.642 0.015 5.68 318.0
2460473.77230 17.653 0.016 6.35 295.0
2460478.59109 17.639 0.024 7.21 565.0
2460480.59204 17.613 0.024 7.02 627.0
2460485.88408 17.648 0.025 6.29 984.0
2460488.64026 17.651 0.016 6.11 318.0
2460491.52557 17.640 0.014 5.34 311.0
2460492.81570 17.633 0.014 5.07 339.0
2460494.69867 17.649 0.013 4.85 279.0
2460497.48906 17.668 0.024 7.64 486.0
2460498.78335 17.679 0.015 5.21 311.0
2460500.67160 17.633 0.015 5.92 277.0
2460501.83809 17.629 0.020 6.87 454.0
2460504.55561 17.672 0.018 7.08 302.0
2460505.80008 17.652 0.020 7.69 306.0
2460513.62878 17.606 0.027 7.23 791.0
2460516.67974 17.645 0.016 5.61 343.0
2460518.70855 17.665 0.017 6.02 367.0
2460521.68173 17.609 0.012 4.68 276.0
2460530.67072 17.625 0.015 6.05 309.0
2460534.50386 17.641 0.017 7.07 341.0
2460542.66052 17.629 0.024 6.69 735.0
2460545.66935 17.658 0.018 6.23 391.0
2460554.48973 17.639 0.020 7.65 362.0
2460556.61286 17.630 0.020 7.01 426.0
